,x,y,z
0,-1.4500000476837158,-6.75,-0.550000011920929
1,-1.5499999523162842,-6.650000095367432,-0.550000011920929
2,-1.4500000476837158,-6.650000095367432,-0.550000011920929
3,-1.5499999523162842,-6.550000190734863,-0.550000011920929
4,-1.350000023841858,-6.550000190734863,-0.44999998807907104
5,-1.5499999523162842,-6.449999809265137,-0.44999998807907104
6,-1.4500000476837158,-6.449999809265137,-0.44999998807907104
7,-1.25,-6.550000190734863,-0.3499999940395355
8,-1.4500000476837158,-6.449999809265137,-0.3499999940395355
9,-1.350000023841858,-6.449999809265137,-0.3499999940395355
10,-1.25,-6.449999809265137,-0.3499999940395355
11,-2.950000047683716,-6.75,-1.5499999523162842
12,-2.8499999046325684,-6.75,-1.5499999523162842
13,-3.1500000953674316,-6.650000095367432,-1.5499999523162842
14,-2.950000047683716,-6.650000095367432,-1.5499999523162842
15,-2.6500000953674316,-6.650000095367432,-1.5499999523162842
16,-3.1500000953674316,-6.550000190734863,-1.5499999523162842
17,-3.049999952316284,-6.550000190734863,-1.5499999523162842
18,-2.950000047683716,-6.550000190734863,-1.5499999523162842
19,-2.8499999046325684,-6.550000190734863,-1.5499999523162842
20,-2.75,-6.550000190734863,-1.5499999523162842
21,-3.1500000953674316,-6.449999809265137,-1.5499999523162842
22,-3.049999952316284,-6.449999809265137,-1.5499999523162842
23,-2.950000047683716,-6.449999809265137,-1.5499999523162842
24,-2.950000047683716,-6.75,-1.4500000476837158
25,-2.8499999046325684,-6.75,-1.4500000476837158
26,-2.75,-6.75,-1.4500000476837158
27,-2.6500000953674316,-6.75,-1.4500000476837158
28,-3.1500000953674316,-6.650000095367432,-1.4500000476837158
29,-3.049999952316284,-6.650000095367432,-1.4500000476837158
30,-2.75,-6.650000095367432,-1.4500000476837158
31,-2.6500000953674316,-6.650000095367432,-1.4500000476837158
32,-2.6500000953674316,-6.949999809265137,-1.350000023841858
33,-2.25,-6.949999809265137,-1.350000023841858
34,-2.950000047683716,-6.849999904632568,-1.350000023841858
35,-2.8499999046325684,-6.849999904632568,-1.350000023841858
36,-2.75,-6.849999904632568,-1.350000023841858
37,-2.6500000953674316,-6.849999904632568,-1.350000023841858
38,-2.450000047683716,-6.849999904632568,-1.350000023841858
39,-2.3499999046325684,-6.849999904632568,-1.350000023841858
40,-3.049999952316284,-6.75,-1.350000023841858
41,-2.950000047683716,-6.75,-1.350000023841858
42,-2.8499999046325684,-6.75,-1.350000023841858
43,-2.75,-6.75,-1.350000023841858
44,-3.1500000953674316,-6.650000095367432,-1.350000023841858
45,-3.049999952316284,-6.650000095367432,-1.350000023841858
46,-3.1500000953674316,-6.449999809265137,-1.350000023841858
47,-3.1500000953674316,-7.050000190734863,-1.25
48,-3.049999952316284,-7.050000190734863,-1.25
49,-2.049999952316284,-7.050000190734863,-1.25
50,-1.9500000476837158,-7.050000190734863,-1.25
51,-3.1500000953674316,-6.949999809265137,-1.25
52,-3.049999952316284,-6.949999809265137,-1.25
53,-2.75,-6.949999809265137,-1.25
54,-2.6500000953674316,-6.949999809265137,-1.25
55,-2.549999952316284,-6.949999809265137,-1.25
56,-2.450000047683716,-6.949999809265137,-1.25
57,-2.3499999046325684,-6.949999809265137,-1.25
58,-2.25,-6.949999809265137,-1.25
59,-2.1500000953674316,-6.949999809265137,-1.25
60,-2.049999952316284,-6.949999809265137,-1.25
61,-1.9500000476837158,-6.949999809265137,-1.25
62,-3.1500000953674316,-6.849999904632568,-1.25
63,-3.049999952316284,-6.849999904632568,-1.25
64,-2.950000047683716,-6.849999904632568,-1.25
65,-2.8499999046325684,-6.849999904632568,-1.25
66,-2.75,-6.849999904632568,-1.25
67,-2.6500000953674316,-6.849999904632568,-1.25
68,-2.549999952316284,-6.849999904632568,-1.25
69,-2.450000047683716,-6.849999904632568,-1.25
70,-2.3499999046325684,-6.849999904632568,-1.25
71,-2.25,-6.849999904632568,-1.25
72,-3.1500000953674316,-6.75,-1.25
73,-2.3499999046325684,-6.449999809265137,-1.25
74,-2.25,-7.150000095367432,-1.149999976158142
75,-3.1500000953674316,-7.050000190734863,-1.149999976158142
76,-3.049999952316284,-7.050000190734863,-1.149999976158142
77,-2.950000047683716,-7.050000190734863,-1.149999976158142
78,-2.8499999046325684,-7.050000190734863,-1.149999976158142
79,-2.75,-7.050000190734863,-1.149999976158142
80,-2.6500000953674316,-7.050000190734863,-1.149999976158142
81,-2.549999952316284,-7.050000190734863,-1.149999976158142
82,-2.450000047683716,-7.050000190734863,-1.149999976158142
83,-2.3499999046325684,-7.050000190734863,-1.149999976158142
84,-2.25,-7.050000190734863,-1.149999976158142
85,-2.1500000953674316,-7.050000190734863,-1.149999976158142
86,-3.1500000953674316,-6.949999809265137,-1.149999976158142
87,-3.049999952316284,-6.949999809265137,-1.149999976158142
88,-2.75,-6.949999809265137,-1.149999976158142
89,-2.6500000953674316,-6.949999809265137,-1.149999976158142
90,-2.549999952316284,-6.949999809265137,-1.149999976158142
91,-2.450000047683716,-6.949999809265137,-1.149999976158142
92,-2.450000047683716,-6.849999904632568,-1.149999976158142
93,-2.6500000953674316,-6.449999809265137,-1.149999976158142
94,-1.75,-7.25,-1.0499999523162842
95,-2.3499999046325684,-7.150000095367432,-1.0499999523162842
96,-2.25,-7.150000095367432,-1.0499999523162842
97,-2.1500000953674316,-7.150000095367432,-1.0499999523162842
98,-2.049999952316284,-7.150000095367432,-1.0499999523162842
99,-1.9500000476837158,-7.150000095367432,-1.0499999523162842
100,-1.850000023841858,-7.150000095367432,-1.0499999523162842
101,-1.75,-7.150000095367432,-1.0499999523162842
102,-3.1500000953674316,-7.050000190734863,-1.0499999523162842
103,-3.049999952316284,-7.050000190734863,-1.0499999523162842
104,-2.950000047683716,-7.050000190734863,-1.0499999523162842
105,-2.549999952316284,-7.050000190734863,-1.0499999523162842
106,-2.450000047683716,-7.050000190734863,-1.0499999523162842
107,-2.3499999046325684,-7.050000190734863,-1.0499999523162842
108,-2.25,-7.050000190734863,-1.0499999523162842
109,-2.1500000953674316,-7.050000190734863,-1.0499999523162842
110,-2.049999952316284,-7.050000190734863,-1.0499999523162842
111,-1.9500000476837158,-7.050000190734863,-1.0499999523162842
112,-1.850000023841858,-7.050000190734863,-1.0499999523162842
113,-3.1500000953674316,-6.949999809265137,-1.0499999523162842
114,-3.049999952316284,-6.949999809265137,-1.0499999523162842
115,-2.8499999046325684,-6.949999809265137,-1.0499999523162842
116,-2.75,-6.949999809265137,-1.0499999523162842
117,-2.6500000953674316,-6.949999809265137,-1.0499999523162842
118,-2.950000047683716,-6.75,-1.0499999523162842
119,-2.75,-6.75,-1.0499999523162842
120,-2.6500000953674316,-6.75,-1.0499999523162842
121,-2.549999952316284,-6.75,-1.0499999523162842
122,-2.450000047683716,-6.75,-1.0499999523162842
123,-2.549999952316284,-6.650000095367432,-1.0499999523162842
124,-1.75,-7.25,-0.949999988079071
125,-1.649999976158142,-7.25,-0.949999988079071
126,-1.850000023841858,-7.150000095367432,-0.949999988079071
127,-1.75,-7.150000095367432,-0.949999988079071
128,-2.950000047683716,-7.050000190734863,-0.949999988079071
129,-2.8499999046325684,-7.050000190734863,-0.949999988079071
